,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen,location,point,latitude,longitude,altitude
102,LK Hildburghausen,22,1,15,"Hildburghausen, Landkreis Hildburghausen, Thüringen, Deutschland","(50.4266785, 10.7296992, 0.0)",50.4266785,10.7296992,0.0
103,LK Hildesheim,285,3,233,"Hildesheim, Landkreis Hildesheim, Niedersachsen, Deutschland","(52.1521636, 9.9513046, 0.0)",52.1521636,9.9513046,0.0
104,LK Hochsauerlandkreis,581,15,539,,,,,
105,LK Hochtaunuskreis,238,5,214,,,,,
106,LK Hof,387,24,294,"Hof, Matug, Wartau, Wahlkreis Werdenberg, Sankt Gallen, 9478, Switzerland","(47.0815082, 9.4756892, 0.0)",47.0815082,9.4756892,0.0
107,LK Hohenlohekreis,741,37,601,,,,,
108,LK Holzminden,105,5,93,"Holzminden, Landkreis Holzminden, Niedersachsen, 37603, Deutschland","(51.828835, 9.4466591, 0.0)",51.828835,9.4466591,0.0
109,LK Höxter,285,6,240,"Höxter, Kreis Höxter, Nordrhein-Westfalen, 37671, Deutschland","(51.7747369, 9.3816877, 0.0)",51.7747369,9.3816877,0.0
110,LK Ilm-Kreis,121,4,105,,,,,
111,LK Jerichower Land,33,2,27,,,,,
112,LK Kaiserslautern,97,0,81,"Kaiserslautern, Rheinland-Pfalz, 67655, Deutschland","(49.4432174, 7.7689951, 0.0)",49.4432174,7.7689951,0.0
113,LK Karlsruhe,890,59,713,"Karlsruhe, Baden-Württemberg, Deutschland","(49.0068705, 8.4034195, 0.0)",49.0068705,8.4034195,0.0
114,LK Kassel,322,22,198,"Kassel, Hessen, 34117, Deutschland","(51.3154546, 9.4924096, 0.0)",51.3154546,9.4924096,0.0
115,LK Kelheim,430,31,352,"Kelheim, Landkreis Kelheim, Bayern, 93309, Deutschland","(48.9187285, 11.8727886, 0.0)",48.9187285,11.8727886,0.0
116,LK Kitzingen,170,3,91,"Kitzingen, Landkreis Kitzingen, Bayern, Deutschland","(49.7339751, 10.161216, 0.0)",49.7339751,10.161216,0.0
117,LK Kleve,579,24,411,"Kleve, Kreis Kleve, Nordrhein-Westfalen, 47533, Deutschland","(51.7854839, 6.131367415330141, 0.0)",51.7854839,6.131367415330141,0.0
118,LK Konstanz,431,10,300,"Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, Deutschland","(47.659216, 9.1750718, 0.0)",47.659216,9.1750718,0.0
119,LK Kronach,128,3,105,"Kronach, Landkreis Kronach, Bayern, 96317, Deutschland","(50.2397846, 11.3277669, 0.0)",50.2397846,11.3277669,0.0
120,LK Kulmbach,204,11,165,"Kulmbach, Landkreis Kulmbach, Bayern, 95326, Deutschland","(50.1008448, 11.4479149, 0.0)",50.1008448,11.4479149,0.0
121,LK Kusel,85,1,79,"Kusel, Kusel-Altenglan, Landkreis Kusel, Rheinland-Pfalz, 66869, Deutschland","(49.5399844, 7.4008479, 0.0)",49.5399844,7.4008479,0.0
122,LK Kyffhäuserkreis,39,0,35,,,,,
123,LK Lahn-Dill-Kreis,334,15,296,"Intersport Link, Walter-Schwahn-Straße, Kernstadt, Herborn, Lahn-Dill-Kreis, Hessen, 35745, Deutschland","(50.668971, 8.3087446, 0.0)",50.668971,8.3087446,0.0
124,LK Landsberg a.Lech,329,10,174,"Landsberg am Lech, Landkreis Landsberg am Lech, Bayern, 86899, Deutschland","(48.0514973, 10.8737728, 0.0)",48.0514973,10.8737728,0.0
125,LK Landshut,641,27,498,"Landshut, Bayern, Deutschland","(48.536217, 12.1516551, 0.0)",48.536217,12.1516551,0.0
126,LK Leer,95,2,84,"Leer, Landkreis Leer, Niedersachsen, 26789, Deutschland","(53.2327625, 7.4577265, 0.0)",53.2327625,7.4577265,0.0
127,LK Leipzig,186,4,167,"Leipzig, Sachsen, 04109, Deutschland","(51.3406321, 12.3747329, 0.0)",51.3406321,12.3747329,0.0
128,LK Lichtenfels,198,2,170,"Lichtenfels, Landkreis Lichtenfels, Bayern, 96215, Deutschland","(50.14568, 11.06382, 0.0)",50.14568,11.06382,0.0
129,LK Limburg-Weilburg,261,2,227,,,,,
130,LK Lindau,239,6,204,"Lindau, Zerbst/Anhalt, Anhalt-Bitterfeld, Sachsen-Anhalt, Deutschland","(52.0460434, 12.09598462653253, 0.0)",52.0460434,12.09598462653253,0.0
131,LK Lippe,706,29,595,"Lippe, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, Deutschland","(50.7087635, 8.0582678, 0.0)",50.7087635,8.0582678,0.0
132,LK Ludwigsburg,1602,59,1276,"Ludwigsburg, Landkreis Ludwigsburg, Baden-Württemberg, Deutschland","(48.8953937, 9.1895147, 0.0)",48.8953937,9.1895147,0.0
133,LK Ludwigslust-Parchim,68,2,54,"Ludwigslust, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19288, Deutschland","(53.3300229, 11.4993644, 0.0)",53.3300229,11.4993644,0.0
134,LK Lörrach,633,46,454,"Lörrach, Verwaltungsgemeinschaft Lörrach, Landkreis Lörrach, Baden-Württemberg, Deutschland","(47.6120896, 7.6607218, 0.0)",47.6120896,7.6607218,0.0
135,LK Lüchow-Dannenberg,18,2,12,"(13) Landhaandelsgebäude aus Kiefen, LK Lüchow-Dannenberg, um 1925 mit Austellung, Am Landtagsplatz, Olmsruh, Suderburg, Samtgemeinde Suderburg, Uelzen, Niedersachsen, 29556, Deutschland","(52.8446402, 10.408175029758517, 0.0)",52.8446402,10.408175029758517,0.0
136,LK Lüneburg,164,0,161,"(14) Wegeweiser von der Landstraße 234 zwischen Diersbüttel und Amelinghausen, LK Lüneburg, Am Landtagsplatz, Olmsruh, Suderburg, Samtgemeinde Suderburg, Uelzen, Niedersachsen, 29556, Deutschland","(52.8445673, 10.4086235, 0.0)",52.8445673,10.4086235,0.0
137,LK Main-Kinzig-Kreis,621,30,409,"Hundepension Link, Bahnhaus, Schlüchtern, Main-Kinzig-Kreis, Hessen, 36381, Deutschland","(50.3567574, 9.51110680977501, 0.0)",50.3567574,9.51110680977501,0.0
138,LK Main-Spessart,143,6,129,,,,,
139,LK Main-Tauber-Kreis,351,7,194,,,,,
140,LK Main-Taunus-Kreis,264,6,192,,,,,
141,LK Mainz-Bingen,383,14,308,"Weingut Link, Grabenstraße, Ockenheim, Gau-Algesheim, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55437, Deutschland","(49.9448219, 7.9700699, 0.0)",49.9448219,7.9700699,0.0
142,LK Mansfeld-Südharz,36,2,31,"Mansfeld, Mansfeld-Südharz, Sachsen-Anhalt, 06343, Deutschland","(51.593159, 11.4522586, 0.0)",51.593159,11.4522586,0.0
143,LK Marburg-Biedenkopf,181,2,166,"Blumenhaus und Gärtnerei Link, Neuhöfe, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35041, Deutschland","(50.8002311, 8.7225043, 0.0)",50.8002311,8.7225043,0.0
144,LK Mayen-Koblenz,346,13,290,"Mayen, Landkreis Mayen-Koblenz, Rheinland-Pfalz, Deutschland","(50.3283544, 7.2215134, 0.0)",50.3283544,7.2215134,0.0
145,LK Mecklenburgische Seenplatte,109,3,100,"Berufliche Schule des LK Demmin, Saarstraße, Jägerhof, Demmin, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17109, Deutschland","(53.90243295, 13.06509835, 0.0)",53.90243295,13.06509835,0.0
146,LK Meißen,217,16,171,"Meißen, Sachsen, 01662, Deutschland","(51.1630871, 13.4704939, 0.0)",51.1630871,13.4704939,0.0
147,LK Merzig-Wadern,188,2,158,"Merzig, Landkreis Merzig-Wadern, Saarland, 66663, Deutschland","(49.4427023, 6.6374902, 0.0)",49.4427023,6.6374902,0.0
148,LK Mettmann,842,58,653,"Mettmann, Kreis Mettmann, Nordrhein-Westfalen, 40822, Deutschland","(51.2527778, 6.9777778, 0.0)",51.2527778,6.9777778,0.0
149,LK Miesbach,507,7,405,"Miesbach, Landkreis Miesbach, Bayern, 83714, Deutschland","(47.790025, 11.8335417, 0.0)",47.790025,11.8335417,0.0
150,LK Miltenberg,268,4,239,"Miltenberg, Landkreis Miltenberg, Bayern, 63897, Deutschland","(49.7017584, 9.2559718, 0.0)",49.7017584,9.2559718,0.0
151,LK Minden-Lübbecke,418,7,365,"Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland","(52.2881045, 8.9168852, 0.0)",52.2881045,8.9168852,0.0
152,LK Mittelsachsen,243,5,209,"62, Frankenau, Mittweida, Mittelsachsen, Sachsen, 09648, Deutschland","(50.9857324, 12.944807951271759, 0.0)",50.9857324,12.944807951271759,0.0
153,LK Märkisch-Oderland,203,3,178,,,,,
154,LK Märkischer Kreis,557,22,395,,,,,
155,LK Mühldorf a.Inn,476,21,303,"Mühldorf a. Inn, Landkreis Mühldorf am Inn, Bayern, 84453, Deutschland","(48.2405007, 12.5250991, 0.0)",48.2405007,12.5250991,0.0
156,LK München,1247,32,777,"München, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822,0.0
157,LK Neckar-Odenwald-Kreis,359,15,195,"Franz-Leopold-Link-Straße, Dörrebrunnen, Neusaß, Walldürn, Verwaltungsverband Hardheim-Walldürn, Neckar-Odenwald-Kreis, Baden-Württemberg, 74731, Deutschland","(49.5759777, 9.3570723, 0.0)",49.5759777,9.3570723,0.0
158,LK Neu-Ulm,405,18,348,"Neu-Ulm, Landkreis Neu-Ulm, Bayern, Deutschland","(48.3954965, 10.00589, 0.0)",48.3954965,10.00589,0.0
159,LK Neuburg-Schrobenhausen,264,12,203,,,,,
160,LK Neumarkt i.d.OPf.,342,12,244,"Neumarkt in der Oberpfalz, Landkreis Neumarkt in der Oberpfalz, Bayern, 92318, Deutschland","(49.279624, 11.4594662, 0.0)",49.279624,11.4594662,0.0
161,LK Neunkirchen,234,6,208,"19, Peischingerstraße, Gemeinde Neunkirchen, Bezirk Neunkirchen, Niederösterreich, 2620, Österreich","(47.726307500000004, 16.087073778596974, 0.0)",47.726307500000004,16.087073778596974,0.0
162,LK Neustadt a.d.Aisch-Bad Windsheim,213,6,161,,,,,
163,LK Neustadt a.d.Waldnaab,764,46,580,"Neustadt an der Waldnaab, Landkreis Neustadt an der Waldnaab, Bayern, 92660, Deutschland","(49.7314121, 12.1732938, 0.0)",49.7314121,12.1732938,0.0
164,LK Neuwied,202,4,157,"Neuwied, Landkreis Neuwied, Rheinland-Pfalz, Deutschland","(50.4302589, 7.4663112, 0.0)",50.4302589,7.4663112,0.0
165,LK Nienburg (Weser),68,2,56,"Nienburg/Weser, Landkreis Nienburg/Weser, Niedersachsen, Deutschland","(52.6410849, 9.2181918, 0.0)",52.6410849,9.2181918,0.0
166,LK Nordfriesland,78,1,68,"Gewerbepark Mittleres Nordfriesland, Bredstedt, Mittleres Nordfriesland, Nordfriesland, Schleswig-Holstein, 25821, Deutschland","(54.6317522, 8.98221027980865, 0.0)",54.6317522,8.98221027980865,0.0
167,LK Nordhausen,58,1,45,"Nordhausen, Landkreis Nordhausen, Thüringen, 99734, Deutschland","(51.5051574, 10.7925317, 0.0)",51.5051574,10.7925317,0.0
168,LK Nordsachsen,132,0,102,"Rindfleischverkauf, Dübener Straße, Löbnitz, Nordsachsen, Sachsen, 04509, Deutschland","(51.592651, 12.4705675, 0.0)",51.592651,12.4705675,0.0
169,LK Nordwestmecklenburg,76,1,70,,,,,
170,LK Northeim,108,1,86,"Northeim, Landkreis Northeim, Niedersachsen, 37154, Deutschland","(51.705401, 9.9972782, 0.0)",51.705401,9.9972782,0.0
171,LK Nürnberger Land,587,36,464,"LK, Eisenschlag 22, Schwarzenbruck, Landkreis Roth, Bayern, 90592, Deutschland","(49.3445706, 11.2350478, 0.0)",49.3445706,11.2350478,0.0
172,LK Oberallgäu,167,7,153,"Ferienhof Schwarzenbühl, An der Argen, Wilhams, Thalerhöhe, Missen-Wilhams, Weitnau (VGem), Landkreis Oberallgäu, Bayern, 87547, Deutschland","(47.5989602, 10.1145598, 0.0)",47.5989602,10.1145598,0.0
173,LK Oberbergischer Kreis,449,13,385,,,,,
